Candidate,House/Senate,State,District,Party,Status,Election Year,Gender,Gender Var
"PATEL, RAGIVE",H,NC,12,DEM,OPEN,2014,,
"OWENS, H DOUGLAS",H,UT,4,DEM,OPEN,2014,,
"OLIEH, ALPHONSUS JR",H,IL,2,DEM,OPEN,2014,,
"OBAGI, ZEIN ELABDINE JR",H,CA,33,DEM,OPEN,2014,,
"NEWBRY, JANEA HOLMQUIST",H,WA,4,REP,OPEN,2014,,
"NAUGHTON, SHAUGHNESSY",H,PA,8,DEM,OPEN,2016,,
"MYERS, KIM",H,NY,22,DEM,OPEN,2016,,
"MULLIN, MARKWAYNE",H,OK,2,REP,OPEN,2012,,
"MORRELL, KIM",H,TX,36,REP,OPEN,2012,,
"MORRELL, KIM",H,TX,36,REP,OPEN,2014,,
"MOORE, STEPHENE ANN",H,KS,3,DEM,OPEN,2010,,
"MOON, C MICHAEL",H,MO,7,REP,OPEN,2010,,
"MOLINA, J. R.",H,TX,33,DEM,OPEN,2012,,
"MODICA, JULIEN",H,VA,10,DEM,OPEN,2014,,
"MENDOZA, M.V.",H,LA,1,DEM,OPEN,2008,,
"MAYHUE, W. PAUL",H,MI,3,DEM,OPEN,2010,,
"MALONE, SHAWN-MICHAEL",H,VI,0,DEM,OPEN,2014,,
"LUETKEMEYER, W. BLAINE",H,MO,9,REP,OPEN,2008,,
"LIIAS, MARKO MR",H,WA,1,DEM,OPEN,2012,,
"LIGGETT, HOMBRE MICHAEL",H,OH,7,REP,OPEN,2012,,
"LEE, PHILMUND (PHIL)",H,HI,1,DEM,OPEN,2010,,
"KRISHNAMOORTHI, S. RAJA",H,IL,8,DEM,OPEN,2016,,
"KORPE, SATISH W",H,VA,8,DEM,OPEN,2014,,
"KOPPELMAN, KIM A",H,ND,0,REP,OPEN,2012,,
"KONST, NOMIKI",H,AZ,2,DEM,OPEN,2012,,
"KITTAPPA, RAJA",H,PA,16,DEM,OPEN,2016,,
"KHAN, MOHAMMADALI D",H,IL,5,DEM,OPEN,2010,,
"KHAL, SAMI",H,NV,3,REP,OPEN,2016,,
"KEITH, LARON",H,IN,4,REP,OPEN,2010,,
"KAJTAZOVIC, ANESA",H,IA,1,DEM,OPEN,2014,,
"JONES, ZACH",H,NV,2,DEM,OPEN,2012,,
"JONES, CATESBY BAYTOP",H,VA,1,REP,OPEN,2008,,
"JHAVERI, ARUN",H,WA,7,DEM,OPEN,2016,,
"JAYAPAL, PRAMILA",H,WA,7,DEM,OPEN,2016,,
"JARVIS, B STEFAN",H,GA,,REP,OPEN,2014,,
"INGERSOL, KI",H,CA,11,DEM,OPEN,2014,,
"HURST, Q. BYRUM JR",H,AR,4,DEM,OPEN,2012,,
"HOWARD, DAWNETTA N",H,OH,7,DEM,OPEN,2012,,
"HOLT, DELECIA ANN",H,CA,53,REP,OPEN,2008,,
"HILL, KIRAN",H,NV,4,REP,OPEN,2012,,
"HERSHMAN, BRANDT",H,IN,4,REP,OPEN,2010,,
"HATFIELD, P KELLY",H,NJ,7,REP,OPEN,2008,,
"HARTMAN, WINK",H,KS,4,REP,OPEN,2010,,
"HANNEMANN, MULIUFI F 'MUFI'",H,HI,2,DEM,OPEN,2012,,
"HALL, ISADORE III",H,CA,44,DEM,OPEN,2016,,
"HACK, HELMUTH",H,AZ,8,REP,OPEN,2012,,
"GUILLORY, BISHOP LEROY JOSEPH L J",H,CA,37,REP,OPEN,2008,,
"GRIFFIN, KY DOUGLAS",H,TX,36,REP,OPEN,2012,,
"GREER, C EARL",H,NM,2,REP,OPEN,2008,,
