"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"MITCHEL, JOHN R","H","OH","7","REP","OPEN","2008","male","0","6.060606061","republican","0","0","0","1","0","0","0","0","0","0","OH72008","71.27"
"MITCHELL, MONTE MARK","H","TX","33","REP","OPEN","2012","male","0","12.66666667","republican","0","0","0","0","0","0","0","1","0","0","TX332012","99.98"
"MITCHELL, PAUL III","H","MI","4","REP","OPEN","2014","male","0","7.272727273","republican","0","0","0","1","0","0","0","0","0","0","MI42014","36.67"
"MITCHELL, PAUL III","H","MI","10","REP","OPEN","2016","male","0","8.181818182","republican","0","0","0","1","0","0","0","0","0","0","MI102016","63.73"
"MIX, RICHARD","H","GA","3","REP","OPEN","2016","male","0","10","republican","0","0","0","0","0","1","0","0","0","0","GA32016","60.53"
"MOAK, STEVEN CARL","H","AZ","3","REP","OPEN","2010","male","0","15","republican","0","0","0","0","0","0","0","0","1","0","AZ32010","96.46"
"MOFFLY, ELIZABETH","H","SC","1","REP","OPEN","2014","female","1","8.064516129","republican","0","0","0","0","0","1","0","0","0","0","SC12014","87.49"
"MOLL, THOMAS","H","AR","4","REP","OPEN","2014","male","0","10","republican","0","0","0","0","0","0","0","1","0","0","AR42014","40.83"
"MOLONEY, MICHAEL J.","H","CA","12","REP","OPEN","2008","male","0","7.5","republican","0","0","0","0","0","0","0","0","0","1","CA122008","99.92"
"MONICA, NICKIE","H","LA","3","REP","OPEN","2010","female","1","3.80952381","republican","0","0","0","0","0","0","0","1","0","0","LA32010","72.79"
"MONTANO, MARIA E","H","CA","36","REP","OPEN","2012","female","1","7.5","republican","0","0","0","0","0","0","0","0","0","1","CA362012","100.00"
"MONTOYA, LUIS","H","CA","33","REP","OPEN","2010","male","0","5","republican","0","0","0","0","0","0","0","0","0","1","CA332010","100.00"
"MOOLENAAR, JOHN","H","MI","4","REP","OPEN","2014","male","0","7.272727273","republican","0","0","0","1","0","0","0","0","0","0","MI42014","36.67"
