lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA09091&tabIndex=1,H0CA09091,"ALLEN, LARRY",H,CA,9,PAF,CHALLENGER,OAKLAND,CA,94610,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0GA02241&tabIndex=1,H0GA02241,"ALLEN, RICK",H,GA,2,REP,CHALLENGER,COLUMBUS,GA,31909,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MA04062&tabIndex=1,H8MA04062,"ALLEN, SUSAN",H,MA,4,IND,CHALLENGER,BROOKLINE,MA,24462234,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA24116&tabIndex=1,H0CA24116,"ALLISON, TIMOTHY JAMES",H,CA,24,DEM,CHALLENGER,SANTA BARBARA,CA,93140,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA32176&tabIndex=1,H0CA32176,"ALONSO, FRANCISCO",H,CA,32,DEM,OPEN,MONTEREY PARK,CA,91755,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ10158&tabIndex=1,H0NJ10158,"ALONSO, MICHAEL J",H,NJ,10,REP,CHALLENGER,BAYONNE,NJ,7002,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0CT00110&tabIndex=1,S0CT00110,"ALPERT, MERRICK",S,CT,0,DEM,OPEN,NEW LONDON,CT,63206042,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH02113&tabIndex=1,H0OH02113,"ALSFELDER, DEBBI",H,OH,2,REP,CHALLENGER,CINCINNATI,OH,45227,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0DC00173&tabIndex=1,H0DC00173,"ALSTON, DONNA JEAN",H,DC,0,DEM,CHALLENGER,WASHINGTON,DC,20019,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA04110&tabIndex=1,H6PA04110,"ALTMIRE, JASON",H,PA,4,DEM,INCUMBENT,FREEDOM,PA,15042,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NY01129&tabIndex=1,H0NY01129,"ALTSCHULER, RANDOLPH MR.",H,NY,1,REP,CHALLENGER,STONY BROOK,NY,11790,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA11337&tabIndex=1,H0CA11337,"AMADOR, ANTONIO C",H,CA,11,REP,CHALLENGER,RCHO STA MARGARITA,CA,92688,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI03126&tabIndex=1,H0MI03126,"AMASH, JUSTIN",H,MI,3,REP,OPEN,GRAND RAPIDS,MI,49506,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0MD00283&tabIndex=1,S0MD00283,"AMEDORI, CARMEN",S,MD,0,REP,CHALLENGER,OCEAN CITY,MD,,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NV00237&tabIndex=1,S0NV00237,"AMODEI, MARK EUGENE",S,NV,0,REP,CHALLENGER,CARSON CITY,NV,89703,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI15096&tabIndex=1,H0MI15096,"AMOROSE, ANTHONY (TONY)",H,MI,15,REP,CHALLENGER,DEARBORN HEIGHTS,MI,,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8HI01176&tabIndex=1,H8HI01176,"AMSTERDAM, C KAUI JOCHANAN",H,HI,1,REP,OPEN,HONOLULU,HI,96822,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN06088&tabIndex=1,H8MN06088,"ANDERSON, BOB",H,MN,6,OTH,CHALLENGER,WOODBURY,MN,55125,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0UT02179&tabIndex=1,H0UT02179,"ANDERSON, CASEY OWEN",H,UT,2,REP,CHALLENGER,CEDAR CITY,UT,84721,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IL05237&tabIndex=1,H0IL05237,"ANDERSON, DAVID JOHN",H,IL,7,LIB,CHALLENGER,ENON,OH,45323,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0KS04069&tabIndex=1,H0KS04069,"ANDERSON, JAMES D",H,KS,4,REP,OPEN,WICHITA,KS,67230,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH07104&tabIndex=1,H0OH07104,"ANDERSON, JOHN DAVID",H,OH,7,LIB,CHALLENGER,ENON,OH,45323,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA33174&tabIndex=1,H0CA33174,"ANDION, JAMES L",H,CA,33,REP,OPEN,LOS ANGELES,CA,90071,2010
