Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"COUNCIL, TEMPERANCE A LANCE",H,CA,25,DEM,OPEN,2014,female,1,16.25,democrat,1
"COURTNEY, WILLIAM L",H,CA,2,DEM,OPEN,2012,male,0,20,democrat,1
"COYLE, BILLY",H,OK,5,DEM,OPEN,2010,male,0,2.97029703,democrat,1
"CRABTREE, VALLERI",H,FL,9,DEM,OPEN,2016,female,1,10.83333333,democrat,1
"CRAWLEY, CENDIE",H,AL,2,DEM,OPEN,2008,female,1,10.47619048,democrat,1
"CRIST, CHARLIE JOSEPH",H,FL,13,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"CRIST, CHERYL A.",H,WA,3,DEM,OPEN,2010,female,1,21.42857143,democrat,1
"CRONE, JAMES ALAN",H,IN,6,DEM,OPEN,2012,male,0,11,democrat,1
"CULLERTON, TOM",H,IL,8,DEM,OPEN,2016,male,0,27.11864407,democrat,1
"DAGHER, PETER ALEXANDER",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"DAILEY, LINDA",H,TX,14,DEM,OPEN,2012,female,1,8.666666667,democrat,1
"DANDEKAR, SWATI ARVIND",H,IA,1,DEM,OPEN,2014,female,1,19,democrat,1
"DANKS BURKE, LESLIE",H,NY,23,DEM,OPEN,2012,female,1,19.33333333,democrat,1
"DARGA, KENNETH JAMES",H,MI,8,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"DAVENPORT, KEITH",H,OK,5,DEM,OPEN,2014,male,0,4.95049505,democrat,1
"DAVIS, BRUCE EDWARD SR",H,NC,6,DEM,OPEN,2014,male,0,12.5,democrat,1
"DAVIS, DERECK EUGENE",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"DAVIS, JOHN R JR",H,NY,26,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"DAVIS, TIMOTHY SEAN",H,MO,7,DEM,OPEN,2010,male,0,15.95092025,democrat,1
"DAYLIN, LEACH B",H,PA,13,DEM,OPEN,2014,male,0,7.881773399,democrat,1
"DAYSOG, TONY",H,CA,11,DEM,OPEN,2014,male,0,16.25,democrat,1
"DECUIR, JASON MAURICE",H,LA,6,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"DEHNE, CHAD",H,NV,2,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"DEJOIE, JOHN",H,NH,2,DEM,OPEN,2010,male,0,25.25,democrat,1
"DEL CASTILLO, RAFAEL GOODWIN",H,HI,1,DEM,OPEN,2010,male,0,25.49019608,democrat,1
"DEL CASTILLO, RAFAEL GOODWIN",H,HI,2,DEM,OPEN,2012,male,0,27.45098039,democrat,1
"DELACERDA, GABRIEL JOSE",H,IA,3,DEM,OPEN,2014,male,0,19,democrat,1
"DELATTE, JOE",H,LA,6,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"DENNENY, DOUGLAS JAMES",H,VA,11,DEM,OPEN,2008,male,0,10,democrat,1
"DERBY, JILL T",H,NV,2,DEM,OPEN,2008,female,1,23.80952381,democrat,1
"DESAULNIER, MARK",H,CA,11,DEM,OPEN,2014,male,0,16.25,democrat,1
"DINGELL, DEBBIE",H,MI,12,DEM,OPEN,2014,female,1,14.54545455,democrat,1
"DIOUS, IVORY KENNETH",H,GA,10,DEM,OPEN,2014,male,0,16.11111111,democrat,1
"DITTMAR, JANE DESIMONE",H,VA,5,DEM,OPEN,2016,female,1,14,democrat,1
"DOBBS, ROBERT",H,SC,1,DEM,OPEN,2010,male,0,6.451612903,democrat,1
"DONATELLI, JAN H",H,IL,5,DEM,OPEN,2010,female,1,21.18644068,democrat,1
"DONOGHUE, EILEEN",H,MA,5,DEM,OPEN,2008,female,1,21.25,democrat,1
"DONOVAN, CHRISTOPHER G",H,CT,5,DEM,OPEN,2012,male,0,21.19205298,democrat,1
"DOOLAN, THOMAS JOSEPH",H,FL,5,DEM,OPEN,2010,male,0,12.5,democrat,1
"DOYLE, BRIAN LAMONT",H,SC,3,DEM,OPEN,2010,male,0,6.451612903,democrat,1
"DRISCOLL, JOHN BRIAN",H,MT,0,DEM,OPEN,2014,male,0,22,democrat,1
"DUCHENY, DENISE MORENO",H,CA,51,DEM,OPEN,2012,female,1,20,democrat,1
"DUNN, JOSEPH",H,CA,46,DEM,OPEN,2016,male,0,13.75,democrat,1
"DUNN, MATTHEW ELLIOT",H,WV,2,DEM,OPEN,2014,male,0,11,democrat,1
"DUNWOODY, STEPHEN",H,MI,14,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"DURAN, BENITA",H,CA,32,DEM,OPEN,2010,female,1,20,democrat,1
"DYER, JANE B MRS",H,SC,3,DEM,OPEN,2010,female,1,6.451612903,democrat,1
"EADS, RANDY",H,MS,3,DEM,OPEN,2008,male,0,13.93442623,democrat,1
