Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"GRISHAM, MICHELLE LUJAN",H,NM,1,DEM,OPEN,2008,female,1,14.28571429,democrat,1
"GRISOLIA, BILL",H,CA,37,DEM,OPEN,2008,male,0,21.25,democrat,1
"GUERRA, JUAN ANGEL",H,TX,34,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"GUILD, THOMAS ",H,OK,5,DEM,OPEN,2014,male,0,4.95049505,democrat,1
"GUILD, THOMAS EUGENE",H,OK,5,DEM,OPEN,2010,male,0,2.97029703,democrat,1
"GULLESON, PAM",H,ND,0,DEM,OPEN,2012,female,1,3.191489362,democrat,1
"HAAS, WILLIAM C",H,MO,2,DEM,OPEN,2012,male,0,14.11042945,democrat,1
"HAFER, BARBARA H",H,PA,12,DEM,OPEN,2010,female,1,5.418719212,democrat,1
"HAIRE, REID",H,KY,2,DEM,OPEN,2008,male,0,10,democrat,1
"HALL, DENNIS M",H,WI,2,DEM,OPEN,2012,male,0,16.16161616,democrat,1
"HALL, ISADORE III",H,CA,44,DEM,OPEN,2016,male,0,13.75,democrat,1
"HALVORSON, DEBORAH 'DEBBIE'",H,IL,11,DEM,OPEN,2008,female,1,19.49152542,democrat,1
"HALVORSON, DEBORAH L",H,IL,2,DEM,OPEN,2014,female,1,25.42372881,democrat,1
"HAMMON, DOMINIC",H,OR,1,DEM,OPEN,2012,male,0,20,democrat,1
"HAMOS, JULIE",H,IL,10,DEM,OPEN,2010,female,1,21.18644068,democrat,1
"HANK, JEFFREY A",H,MI,8,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"HANNEMANN, MULIUFI F 'MUFI'",H,HI,2,DEM,OPEN,2012,male,0,27.45098039,democrat,1
"HARRIMAN, BRAD J",H,IL,12,DEM,OPEN,2012,male,0,23.72881356,democrat,1
"HARRIS, MARK L",H,WI,6,DEM,OPEN,2014,male,0,17.17171717,democrat,1
"HARRIS, MATTHEW JOSEPH",H,NJ,1,DEM,OPEN,2014,male,0,20,democrat,1
"HARRIS, NAPOLEON B III",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"HARRISON, STEPHEN A. MR.",H,NY,13,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"HARTMAN, CHRISTINA MARIE MS.",H,PA,16,DEM,OPEN,2016,female,1,6.896551724,democrat,1
"HAYNES, GREGORY",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"HAYS, PATRICK HENRY",H,AR,2,DEM,OPEN,2014,male,0,7,democrat,1
"HEALY-ABRAMS, JOYCE",H,OH,7,DEM,OPEN,2012,female,1,12.12121212,democrat,1
"HECK, DENNIS",H,WA,3,DEM,OPEN,2010,male,0,21.42857143,democrat,1
"HECKMAN, DOUGLAS SCOTT",H,GA,7,DEM,OPEN,2010,male,0,15,democrat,1
"HEINRICH, MARTIN",H,NM,1,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"HEINZ, MATTHEW GERALD",H,AZ,2,DEM,OPEN,2012,male,0,11.66666667,democrat,1
"HEITZMAN, SUSAN HALL",H,IN,6,DEM,OPEN,2012,female,1,11,democrat,1
"HENLEY, GERALD CARVER",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"HEROUX, PAUL",H,MA,4,DEM,OPEN,2012,male,0,20,democrat,1
"HERRIMAN, CARROLL WAYNE",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1
"HERRON, ROY BRASFIELD",H,TN,8,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"HESTER, JIM",H,CA,52,DEM,OPEN,2008,male,0,21.25,democrat,1
"HEYDENFELDT, SCOTT MATTHEW",H,CA,35,DEM,OPEN,2014,male,0,16.25,democrat,1
"HICKS, ERIN KATHLEEN",H,TX,33,DEM,OPEN,2012,female,1,8.666666667,democrat,1
"HIGGS, NANCY NOEL",H,FL,15,DEM,OPEN,2008,female,1,13.33333333,democrat,1
"HILL, THOMAS",H,NC,11,DEM,OPEN,2012,male,0,19.16666667,democrat,1
"HILLIARD, EARL FREDERICK JR",H,AL,7,DEM,OPEN,2010,male,0,9.523809524,democrat,1
"HOBBS, RUDY",H,MI,14,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"HOBBS, STEVE",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"HOLCOMB, BYRON J.",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"HOLLAND, GEORGE THOMAS",H,IN,6,DEM,OPEN,2012,male,0,11,democrat,1
"HOLLAND, STEVE",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1
"HOLLIDAY, BERNARD ANSELY",H,NC,13,DEM,OPEN,2012,male,0,19.16666667,democrat,1
"HOLMES, JEFF",H,MI,4,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"HOLMES, KRISTIE",H,CA,33,DEM,OPEN,2014,female,1,16.25,democrat,1
"HONTZ, EDWARD B TED",H,VA,1,DEM,OPEN,2008,male,0,10,democrat,1
"HOOSER, GARY L",H,HI,2,DEM,OPEN,2012,male,0,27.45098039,democrat,1
"HOPE, PATRICK ALAN",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"HORSFORD, STEVEN ALEXZANDER",H,NV,4,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"HOWARD, DAWNETTA N",H,OH,7,DEM,OPEN,2012,female,1,12.12121212,democrat,1
"HUFFMAN, JARED",H,CA,2,DEM,OPEN,2012,male,0,20,democrat,1
"HUGHES, ANDREW IFITS",H,WA,7,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"HULBURD, JON",H,AZ,3,DEM,OPEN,2010,male,0,15,democrat,1
"HUNTER, MARCUS LAMAR",H,LA,5,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"HURST, Q. BYRUM JR",H,AR,4,DEM,OPEN,2012,male,0,11,democrat,1
"HURT, JAMES K. (KEN)",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1
"HUTCHINSON, TOI",H,IL,2,DEM,OPEN,2014,female,1,25.42372881,democrat,1
"HYRA, DEREK",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"INGERSOL, KI",H,CA,11,DEM,OPEN,2014,male,0,16.25,democrat,1
"IVEY, GLENN FREDERICK",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"JACKSON, TROY",H,ME,2,DEM,OPEN,2014,male,0,22.51655629,democrat,1
"JACOB, KENNETH BENTLEY",H,MO,9,DEM,OPEN,2008,male,0,14.11042945,democrat,1
"JAWANDO, WILL MR.",H,MD,8,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"JAYAPAL, PRAMILA",H,WA,7,DEM,OPEN,2016,female,1,19.3877551,democrat,1
"JEFFRESS, GENE",H,AR,4,DEM,OPEN,2012,male,0,11,democrat,1
"JENNINGS, ALLAN W JR",H,NY,5,DEM,OPEN,2012,male,0,19.33333333,democrat,1
"JENNINGS, CHRISTINE",H,FL,13,DEM,OPEN,2008,female,1,13.33333333,democrat,1
"JETTE, MATTHEW T",H,AZ,6,DEM,OPEN,2012,male,0,11.66666667,democrat,1
"JHAVERI, ARUN",H,WA,7,DEM,OPEN,2016,male,0,19.3877551,democrat,1
"JILKA, ALAN",H,KS,1,DEM,OPEN,2010,male,0,16.8,democrat,1
"JOHNSON, CAROLYN R",H,OH,11,DEM,OPEN,2008,female,1,12.12121212,democrat,1
"JOHNSON, EZRA ALLEN",H,TX,20,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"JOHNSON, FREDDIE LEE III",H,MI,2,DEM,OPEN,2010,male,0,20,democrat,1
"JOHNSON, JEFFREY",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"JOHNSON, KENNETH LAMAR",H,IL,0,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"JOHNSON, LARRY E",H,CO,2,DEM,OPEN,2008,male,0,32.30769231,democrat,1
"JOHNSON, ROBERT ALLEN",H,LA,5,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"JONATHAN, VICTOR",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"JONES, JASON LEE",H,CA,12,DEM,OPEN,2008,male,0,21.25,democrat,1
"JONES, ZACH",H,NV,2,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"JOYNER, JIM",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"KAIMAN, JON",H,NY,3,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"KAJTAZOVIC, ANESA",H,IA,1,DEM,OPEN,2014,female,1,19,democrat,1
"KANUTH, DAVID",H,CA,33,DEM,OPEN,2014,male,0,16.25,democrat,1
"KAPLAN, ANNA",H,NY,3,DEM,OPEN,2016,female,1,24.66666667,democrat,1
"KEATING, WILLIAM RICHARD",H,MA,10,DEM,OPEN,2010,male,0,22.5,democrat,1
"KEHOE, JOHN PATRICK MR.",H,NY,19,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"KENDALL, JASON H",H,FL,6,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"KENNEDY, JAMES EDWARD",H,MA,10,DEM,OPEN,2010,male,0,22.5,democrat,1
"KENNEDY, JOSEPH P III",H,MA,4,DEM,OPEN,2012,male,0,20,democrat,1
"KENNEDY, PATRICK",H,AR,2,DEM,OPEN,2010,male,0,16,democrat,1
"KERN, BOB",H,IN,9,DEM,OPEN,2016,male,0,12,democrat,1
"KHAN, MOHAMMADALI D",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"KIAAINA, ESTHER PUAKELA",H,HI,2,DEM,OPEN,2012,female,1,27.45098039,democrat,1
"KILDEE, DANIEL T",H,MI,5,DEM,OPEN,2012,male,0,14.54545455,democrat,1
"KILMER, DEREK",H,WA,6,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"KILROY, MARY JO",H,OH,15,DEM,OPEN,2008,female,1,12.12121212,democrat,1
"KIM, DONNA MERCADO",H,HI,1,DEM,OPEN,2014,female,1,25.49019608,democrat,1
"KIRKPATRICK, ANN",H,AZ,1,DEM,OPEN,2008,female,1,15,democrat,1
"KISSLING, ALBERT DONALD",H,NM,2,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"KITTAPPA, RAJA",H,PA,16,DEM,OPEN,2016,female,1,6.896551724,democrat,1
"KLEINHENDLER, HOWARD",H,NJ,3,DEM,OPEN,2014,male,0,20,democrat,1
"KOLLER, DAVID C",H,FL,11,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"KONST, KATHY",H,NY,26,DEM,OPEN,2008,female,1,22.66666667,democrat,1
"KONST, NOMIKI",H,AZ,2,DEM,OPEN,2012,female,1,11.66666667,democrat,1
"KOPPLIN, ANDREW DAVID",H,LA,6,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"KORPE, SATISH W",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"KOUTOUJIAN, PETER J",H,MA,5,DEM,OPEN,2014,male,0,18.75,democrat,1
"KRISHNAMOORTHI, S. RAJA",H,IL,8,DEM,OPEN,2016,male,0,27.11864407,democrat,1
"KRYZAN, ALICE J",H,NY,26,DEM,OPEN,2008,female,1,22.66666667,democrat,1
"KUBBA, SAM",H,VA,10,DEM,OPEN,2014,male,0,12,democrat,1
"KUSTER, ANN MCLANE",H,NH,2,DEM,OPEN,2010,female,1,25.25,democrat,1
"LAESCH, JOHN",H,IL,14,DEM,OPEN,2008,male,0,19.49152542,democrat,1
"LAMB, DAN",H,NY,22,DEM,OPEN,2012,male,0,19.33333333,democrat,1
"LAMP, TOBY",H,IN,3,DEM,OPEN,2016,male,0,12,democrat,1
"LAMPSON, NICHOLAS",H,TX,14,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"LANKSTER, FRANK",H,AL,7,DEM,OPEN,2010,male,0,9.523809524,democrat,1
"LAROSE, JOSUE",H,FL,19,DEM,OPEN,2010,male,0,12.5,democrat,1
"LASSA, JULIE",H,WI,7,DEM,OPEN,2010,female,1,16.16161616,democrat,1
"LAUVER, NED W",H,OH,16,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"LAVIA, LINDA CHAPA",H,IL,14,DEM,OPEN,2008,female,1,19.49152542,democrat,1
"LAW, JAMES",H,CA,36,DEM,OPEN,2012,male,0,20,democrat,1
"LAWRENCE, BRENDA LULENAR",H,MI,14,DEM,OPEN,2014,female,1,14.54545455,democrat,1
"LAWRENCE, MARK",H,ME,1,DEM,OPEN,2008,male,0,23.17880795,democrat,1
"LAWSON, STACEY",H,CA,2,DEM,OPEN,2012,female,1,20,democrat,1
"LEE, JOHN JAY",H,NV,4,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"LEE, PHILMUND (PHIL)",H,HI,1,DEM,OPEN,2010,male,0,25.49019608,democrat,1
"LEMING, BENJAMIN T",H,TN,6,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"LENTZ, BRYAN ROY",H,PA,7,DEM,OPEN,2010,male,0,5.418719212,democrat,1
"LEONARD, LEONA",H,OK,5,DEM,OPEN,2014,female,1,4.95049505,democrat,1
"LESTER, MARK",H,AL,6,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"LETTIN, ROBERT E.",H,OR,1,DEM,OPEN,2012,male,0,20,democrat,1
"LEVINE, MARK HERBERT",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"LEWIS, JOHN",H,MT,0,DEM,OPEN,2014,male,0,22,democrat,1
"LIEBERMAN, RICHARD DEAN",H,LA,6,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"LIEU, TED",H,CA,33,DEM,OPEN,2014,male,0,16.25,democrat,1
"LIIAS, MARKO MR",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"LONG, TONY ALLEN",H,IN,5,DEM,OPEN,2012,male,0,11,democrat,1
"LOPEZ, ADAM",H,IL,18,DEM,OPEN,2016,male,0,27.11864407,democrat,1
"LOPEZ, ALFONSO HOFFMAN",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"LUJAN, BEN R",H,NM,3,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"LUMPKIN, MICHAEL DAVID",H,CA,52,DEM,OPEN,2008,male,0,21.25,democrat,1
"LYNCH, WILLIAM J",H,RI,1,DEM,OPEN,2010,male,0,22.66666667,democrat,1
"LYNN, ERIC",H,FL,13,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"LYSENKO, STEFAN (CONTRERAS)",H,CA,32,DEM,OPEN,2010,male,0,20,democrat,1
"MAFFEI, DANIEL B MR.",H,NY,25,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"MAHN, DANIEL TODD",H,MO,8,DEM,OPEN,2014,male,0,11.65644172,democrat,1
"MAKER, DAVID JOEL",H,AL,5,DEM,OPEN,2008,male,0,10.47619048,democrat,1
"MALONE, CHARLES",H,NC,13,DEM,OPEN,2012,male,0,19.16666667,democrat,1
"MALONEY, JAMES",H,AZ,1,DEM,OPEN,2016,male,0,18.33333333,democrat,1
"MALONEY, SEAN PATRICK",H,NY,18,DEM,OPEN,2012,male,0,19.33333333,democrat,1
"MANAHAN, JOEY",H,HI,1,DEM,OPEN,2014,male,0,25.49019608,democrat,1
"MANDEL, HOWARD C",H,CA,33,DEM,OPEN,2010,male,0,20,democrat,1
"MARGOLIES-MEZVINSKY, MARJORIE",H,PA,13,DEM,OPEN,2014,female,1,7.881773399,democrat,1
"MARKS, STEVE",H,OR,5,DEM,OPEN,2008,male,0,18.33333333,democrat,1
"MARSDEN, LES",H,CA,19,DEM,OPEN,2010,male,0,20,democrat,1
"MARTHONE, JOSEPH R",H,NY,5,DEM,OPEN,2012,male,0,19.33333333,democrat,1
"MARTIN, NATHANIEL",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"MARTIN, RUDY",H,NM,3,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"MARTIN, WALTER, JR.",H,NC,7,DEM,OPEN,2014,male,0,12.5,democrat,1
"MARX, ROBERT (BOB)",H,HI,2,DEM,OPEN,2012,male,0,27.45098039,democrat,1
"MATTHEWS, KATHLEEN",H,MD,8,DEM,OPEN,2016,female,1,25.53191489,democrat,1
"MAYE, JACQUES CLEMENT JR",H,NV,2,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"MAYHUE, W. PAUL",H,MI,3,DEM,OPEN,2010,male,0,20,democrat,1
"MAYO, JAMIE",H,LA,5,DEM,OPEN,2016,female,1,8.571428571,democrat,1
"MCAFFREY, AL",H,OK,5,DEM,OPEN,2014,male,0,4.95049505,democrat,1
"MCCALL, JESSICA LYNN",H,MI,14,DEM,OPEN,2014,female,1,14.54545455,democrat,1
"MCCAMLEY, WILLIAM J",H,NM,2,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"MCCLURE, JAMES R., JR.",H,IN,9,DEM,OPEN,2016,male,0,12,democrat,1
"MCCLURE, NICOLETTE",H,MI,2,DEM,OPEN,2010,female,1,20,democrat,1
"MCCRACKEN, MARK B",H,PA,5,DEM,OPEN,2008,male,0,5.418719212,democrat,1
"MCCULLOUGH, WILLIAM",H,FL,6,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"MCDERMOTT, JAMES JOSEPH",H,WA,7,DEM,OPEN,2016,male,0,19.3877551,democrat,1
"MCDONALD, VALERIE J",H,CA,37,DEM,OPEN,2008,female,1,21.25,democrat,1
"MCDOWELL, GARY J.",H,MI,1,DEM,OPEN,2010,male,0,20,democrat,1
"MCGRATH, BRIAN",H,NY,23,DEM,OPEN,2010,male,0,23.33333333,democrat,1
"MCKINLAY, MELISSA",H,FL,18,DEM,OPEN,2016,female,1,10.83333333,democrat,1
"MCKINNON, FRANK",H,NM,2,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"MCMAHON, MICHAEL E. MR.",H,NY,13,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"MCMICKLE, MARVIN",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"MCMURRY, MICHELLE TAYLOR",H,CA,12,DEM,OPEN,2008,female,1,21.25,democrat,1
"MEISTER, STEPHEN JOSEPH MD",H,ME,1,DEM,OPEN,2008,male,0,23.17880795,democrat,1
"MELL, DEBORAH",H,IL,5,DEM,OPEN,2010,female,1,21.18644068,democrat,1
"MELLON, ROBERT",H,IL,18,DEM,OPEN,2016,male,0,27.11864407,democrat,1
"MELSON, MATT",H,OH,8,DEM,OPEN,2016,male,0,13.13131313,democrat,1
"MENDOZA, M.V.",H,LA,1,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"MERCER, LUTHER T II",H,TN,8,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"MEURICE, LUIS",H,FL,25,DEM,OPEN,2010,male,0,12.5,democrat,1
"MEYERS, VICTOR S",H,CO,4,DEM,OPEN,2014,male,0,27.69230769,democrat,1
"MICELI, JAMES R",H,MA,5,DEM,OPEN,2008,male,0,21.25,democrat,1
"MICHAELS, BARRY",H,NV,3,DEM,OPEN,2016,male,0,21.42857143,democrat,1
"MILES, PATRICK A JR",H,MI,3,DEM,OPEN,2010,male,0,20,democrat,1
"MILKOVICH, JOHN CHARLES",H,LA,4,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"MILLER, CHRISTOPHER MARTIN",H,IL,12,DEM,OPEN,2012,male,0,23.72881356,democrat,1
"MILLER, MATTHEW LOUIS",H,CA,33,DEM,OPEN,2014,male,0,16.25,democrat,1
"MINNING, DENA MARIE DR. MD",H,FL,9,DEM,OPEN,2016,female,1,10.83333333,democrat,1
"MINOR, FRANK WAYNE",H,NJ,1,DEM,OPEN,2014,male,0,20,democrat,1
"MITCHELL, ALICIA",H,TN,3,DEM,OPEN,2010,female,1,12.12121212,democrat,1
"MITCHELL, JAMES",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"MITCHELL, WILLIAM D",H,FL,9,DEM,OPEN,2008,male,0,13.33333333,democrat,1
"MITTLEMAN, GARY",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"MIYAMOTO, HANNAH STEPHANIE",H,HI,1,DEM,OPEN,2014,female,1,25.49019608,democrat,1
"MODICA, JULIEN",H,VA,10,DEM,OPEN,2014,male,0,12,democrat,1
"MOISE, RUDOLPH",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"MOKOLO, PATRICIA EVANS",H,AL,7,DEM,OPEN,2010,female,1,9.523809524,democrat,1
"MOLINA, J. R.",H,TX,33,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"MONTEAGUDO, CARLOS A",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"MONTOYA, HARRY B",H,NM,3,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"MOORE, RODNEY WAYNE",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"MOORE, STEPHENE ANN",H,KS,3,DEM,OPEN,2010,female,1,16.8,democrat,1
"MORAN, NANCY",H,OR,5,DEM,OPEN,2008,female,1,18.33333333,democrat,1
"MORRISON, DANIEL COCHRAN",H,AR,4,DEM,OPEN,2012,male,0,11,democrat,1
"MORRISON, RUTH",H,WA,1,DEM,OPEN,2012,female,1,19.3877551,democrat,1
"MORTON, MAURICE G",H,MI,14,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"MOSTERT, NICK JUAN",H,CA,33,DEM,OPEN,2010,male,0,20,democrat,1
"MUHAMMAD, FATIMAH N",H,IL,2,DEM,OPEN,2014,female,1,25.42372881,democrat,1
"MULLEN, BRENDAN B.",H,IN,2,DEM,OPEN,2012,male,0,11,democrat,1
"MULLINS, RAYMOND GLENN",H,MI,12,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"MULVANEY, BARBARA",H,CA,33,DEM,OPEN,2014,female,1,16.25,democrat,1
"MURPHY, PATRICK JOSEPH",H,IA,1,DEM,OPEN,2014,male,0,19,democrat,1
"MUSANTE, MARCUS",H,CA,44,DEM,OPEN,2016,male,0,13.75,democrat,1
"MYERS, KIM",H,NY,22,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"NADAL, RAFAEL F.",H,CA,32,DEM,OPEN,2010,male,0,20,democrat,1
"NAJARIAN, NANCY",H,VA,8,DEM,OPEN,2014,female,1,12,democrat,1
"NATHE, RICHARD",H,OR,5,DEM,OPEN,2008,male,0,18.33333333,democrat,1
"NAUGHTON, SHAUGHNESSY",H,PA,8,DEM,OPEN,2016,male,0,6.896551724,democrat,1
"NEELY, BRIAN H",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1
"NELSON, TARA E.",H,IN,4,DEM,OPEN,2010,female,1,13,democrat,1
"NEUHARDT, SHAREN SWARTZ",H,OH,7,DEM,OPEN,2008,female,1,12.12121212,democrat,1
"NEVENIC, ANNA",H,CA,41,DEM,OPEN,2012,female,1,20,democrat,1
"NEWELL, FELTON",H,CA,33,DEM,OPEN,2010,male,0,20,democrat,1
"NGUYEN, BAO QUOC",H,CA,46,DEM,OPEN,2016,female,1,13.75,democrat,1
"NIGHTENHELSER, TODD ALAN",H,IN,3,DEM,OPEN,2016,male,0,12,democrat,1
"NOLAND, MICHAEL",H,IL,8,DEM,OPEN,2016,male,0,27.11864407,democrat,1
"NUCIFORO, ANDREA F JR",H,MA,1,DEM,OPEN,2012,female,1,20,democrat,1
"NULL, JACK D",H,OH,7,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"O'BRIEN, DAVID A",H,IA,1,DEM,OPEN,2014,male,0,19,democrat,1
"O'BRIEN, DAVID MICHAEL",H,MA,5,DEM,OPEN,2008,male,0,21.25,democrat,1
"O'CONNOR, PATRICK J.",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"O'HALLERAN, TOM",H,AZ,1,DEM,OPEN,2016,male,0,18.33333333,democrat,1
"O'LEARY, ROBERT A",H,MA,10,DEM,OPEN,2010,male,0,22.5,democrat,1
"OBAGI, ZEIN ELABDINE JR",H,CA,33,DEM,OPEN,2014,male,0,16.25,democrat,1
"OBERMAN, JUSTIN PEREIRA",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"OLIEH, ALPHONSUS JR",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"OLIVAS, MIGUEL",H,AZ,1,DEM,OPEN,2016,male,0,18.33333333,democrat,1
"OLIVAS, MIGUEL MIKE",H,AZ,1,DEM,OPEN,2008,male,0,15,democrat,1
"ORENTLICHER, DAVID",H,IN,7,DEM,OPEN,2008,male,0,10,democrat,1
"OROPEZA, JENNY",H,CA,37,DEM,OPEN,2008,female,1,21.25,democrat,1
"ORTEGA, GUSTAVO",H,AZ,7,DEM,OPEN,2014,male,0,18.33333333,democrat,1
"ORTON, WILLIAM R. BILL",H,CA,44,DEM,OPEN,2016,male,0,13.75,democrat,1
"OSBORNE, CURTIS C",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"OSBORNE, TOM",H,KY,1,DEM,OPEN,2016,male,0,10,democrat,1
"OSHINS, JEFF",H,CA,24,DEM,OPEN,2016,male,0,13.75,democrat,1
"OSTRANDER, WILLIAM",H,CA,24,DEM,OPEN,2016,male,0,13.75,democrat,1
"OWENS, CHRIS",H,NY,11,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"OWENS, H DOUGLAS",H,UT,4,DEM,OPEN,2014,male,0,10.66666667,democrat,1
"PAEZ, BRYON J",H,NM,1,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"PALACIOS, JUAN SONNY JR",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"PANETTA, JIMMY",H,CA,20,DEM,OPEN,2016,male,0,13.75,democrat,1
"PAPPAS, GEORGE STEVE",H,FL,6,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"PARKS, WILLIAM RANDLE",H,CA,18,DEM,OPEN,2012,male,0,20,democrat,1
"PARMER, GEORGE A JR",H,CA,37,DEM,OPEN,2008,male,0,21.25,democrat,1
"PARRISH, MICHAEL D",H,PA,6,DEM,OPEN,2014,male,0,7.881773399,democrat,1
"PARTAIN, JOHNNY RAY",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"PATEL, RAGIVE",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"PATMON, BILL",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"PENA-MELNYK, JOSELINE A.",H,MD,4,DEM,OPEN,2016,female,1,25.53191489,democrat,1
"PERKINS, BILL",H,NY,13,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"PERKINS, JAMES JR",H,AL,7,DEM,OPEN,2010,male,0,9.523809524,democrat,1
"PERKINS, RANDY",H,FL,18,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"PETERSEN, MATT",H,CA,36,DEM,OPEN,2012,male,0,20,democrat,1
"PETERSON, BILL",H,UT,4,DEM,OPEN,2014,male,0,10.66666667,democrat,1
"PICCILLO, JAMES JOHN",H,FL,5,DEM,OPEN,2010,male,0,12.5,democrat,1
"PICKENS, LARRY D",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"PIDCOCK, ROBERT L",H,NM,1,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"PINGREE, CHELLIE M",H,ME,1,DEM,OPEN,2008,female,1,23.17880795,democrat,1
"PLEITZ, EMANUEL",H,CA,32,DEM,OPEN,2010,male,0,20,democrat,1
"POCAN, MARK",H,WI,2,DEM,OPEN,2012,male,0,16.16161616,democrat,1
"POLIS, JARED",H,CO,2,DEM,OPEN,2008,male,0,32.30769231,democrat,1
"POLLOCK, DAVID",H,CA,24,DEM,OPEN,2012,male,0,20,democrat,1
