Illinois 4,Luis GutiÃ©rrez,Democratic,1993,1953,40,Male
Illinois 5,Mike Quigley,Democratic,2009,1959,50,Male
Illinois 6,Peter Roskam,Republican,2007,1961,46,Male
Illinois 7,Danny K. Davis,Democratic,1997,1941,56,Male
Illinois 8,Tammy Duckworth,Democratic,2013,1968,45,Female
Illinois 9,Jan Schakowsky,Democratic,1999,1944,55,Female
Illinois 10,Robert Dold,Republican,2015,1969,46,Male
Illinois 11,Bill Foster,Democratic,2013,1955,58,Male
Illinois 12,Mike Bost,Republican,2015,1960,55,Male
Illinois 13,Rodney Davis,Republican,2013,1970,43,Male
Illinois 14,Randy Hultgren,Republican,2011,1966,45,Male
Illinois 15,John Shimkus,Republican,1997,1958,39,Male
Illinois 16,Adam Kinzinger,Republican,2011,1978,33,Male
Illinois 17,Cheri Bustos,Democratic,2013,1961,52,Female
Illinois 18,Darin LaHood,Republican,2015,1968,47,Male
Indiana 1,Pete Visclosky,Democratic,1985,1949,36,Male
Indiana 2,Jackie Walorski,Republican,2013,1963,50,Female
Indiana 3,Marlin Stutzman,Republican,2010,1976,34,Male
Indiana 4,Todd Rokita,Republican,2011,1970,41,Male
Indiana 5,Susan Brooks,Republican,2013,1960,53,Female
Indiana 6,Luke Messer,Republican,2013,1969,44,Male
Indiana 7,AndrÃ© Carson,Democratic,2008,1974,34,Male
Indiana 8,Larry Bucshon,Republican,2011,1962,49,Male
Indiana 9,Todd Young,Republican,2011,1972,39,Male
Iowa 1,Rod Blum,Republican,2015,1955,60,Male
Iowa 2,Dave Loebsack,Democratic,2007,1952,55,Male
Iowa 3,David Young,Republican,2015,1968,47,Male
Iowa 4,Steve King,Republican,2003,1949,54,Male
Kansas 1,Tim Huelskamp,Republican,2011,1968,43,Male
Kansas 2,Lynn Jenkins,Republican,2009,1963,46,Female
Kansas 3,Kevin Yoder,Republican,2011,1976,35,Male
Kansas 4,Mike Pompeo,Republican,2011,1963,48,Male
Kentucky 1,Ed Whitfield,Republican,1995,1943,52,Male
Kentucky 2,Brett Guthrie,Republican,2009,1964,45,Male
Kentucky 3,John Yarmuth,Democratic,2007,1947,60,Male
Kentucky 4,Thomas Massie,Republican,2012,1971,41,Male
Kentucky 5,Hal Rogers,Republican,1981,1937,44,Male
Kentucky 6,Andy Barr,Republican,2013,1973,40,Male
Louisiana 1,Steve Scalise,Republican,2008,1965,43,Male
Louisiana 2,Cedric Richmond,Democratic,2011,1973,38,Male
Louisiana 3,Charles Boustany,Republican,2005,1956,49,Male
Louisiana 4,John Fleming,Republican,2009,1951,58,Male
Louisiana 5,Ralph Abraham,Republican,2015,1954,61,Male
Louisiana 6,Garret Graves,Republican,2015,1972,43,Male
Maine 1,Chellie Pingree,Democratic,2009,1955,54,Female
Maine 2,Bruce Poliquin,Republican,2015,1953,62,Male
Maryland 1,Andy Harris,Republican,2011,1957,54,Male
Maryland 2,Dutch Ruppersberger,Democratic,2003,1946,57,Male
Maryland 3,John Sarbanes,Democratic,2007,1962,45,Male
Maryland 4,Donna Edwards,Democratic,2008,1958,50,Female
Maryland 5,Steny Hoyer,Democratic,1981,1939,42,Male
Maryland 6,John Delaney,Democratic,2013,1963,50,Male
Maryland 7,Elijah Cummings,Democratic,1996,1951,45,Male
Maryland 8,Chris Van Hollen,Democratic,2003,1959,44,Male
Massachusetts 1,Richard Neal,Democratic,1989,1949,40,Male
Massachusetts 2,Jim McGovern,Democratic,1997,1959,38,Male
Massachusetts 3,Niki Tsongas,Democratic,2007,1946,61,Female
Massachusetts 4,Joe Kennedy,Democratic,2013,1980,33,Male
Massachusetts 5,Katherine Clark,Democratic,2013,1963,50,Female
Massachusetts 6,Seth Moulton,Democratic,2015,1978,37,Male
Massachusetts 7,Mike Capuano,Democratic,1999,1952,47,Male
Massachusetts 8,Stephen F. Lynch,Democratic,2001,1955,46,Male
Massachusetts 9,Bill Keating,Democratic,2011,1952,59,Male
Michigan 1,Dan Benishek,Republican,2011,1952,59,Male
Michigan 2,Bill Huizenga,Republican,2011,1969,42,Male
Michigan 3,Justin Amash,Republican,2011,1980,31,Male
Michigan 4,John Moolenaar,Republican,2015,1961,54,Male
Michigan 5,Dan Kildee,Democratic,2013,1958,55,Male
Michigan 6,Fred Upton,Republican,1987,1953,34,Male
Michigan 7,Tim Walberg,Republican,2011,1951,60,Male
Michigan 8,Mike Bishop,Republican,2015,1967,48,Male
Michigan 9,Sander Levin,Democratic,1983,1931,52,Male
Michigan 10,Candice Miller,Republican,2003,1954,49,Female
Michigan 11,David Trott,Republican,2015,1960,55,Male
Michigan 12,Debbie Dingell,Democratic,2015,1953,62,Female
Michigan 13,John Conyers,Democratic,1965,1929,36,Male
Michigan 14,Brenda Lawrence,Democratic,2015,1954,61,Female
Minnesota 1,Tim Walz,Democratic,2007,1964,43,Male
Minnesota 2,John Kline,Republican,2003,1947,56,Male
Minnesota 3,Erik Paulsen,Republican,2009,1965,44,Male
Minnesota 4,Betty McCollum,Democratic,2001,1954,47,Female
Minnesota 5,Keith Ellison,Democratic,2007,1963,44,Male
Minnesota 6,Tom Emmer,Republican,2015,1961,54,Male
Minnesota 7,Collin Peterson,Democratic,1991,1944,47,Male
Minnesota 8,Rick Nolan,Democratic,2013,1943,70,Male
Mississippi 1,Trent Kelly,Republican,2015,1966,49,Male
Mississippi 2,Bennie Thompson,Democratic,1993,1948,45,Male
Mississippi 3,Gregg Harper,Republican,2009,1956,53,Male
Mississippi 4,Steven Palazzo,Republican,2011,1970,41,Male
Missouri 1,William Clay,Democratic,2001,1956,45,Male
Missouri 2,Ann Wagner,Republican,2013,1962,51,Female
Missouri 3,Blaine Luetkemeyer,Republican,2009,1960,49,Male
Missouri 4,Vicky Hartzler,Republican,2011,1960,51,Female
Missouri 5,Emanuel Cleaver,Democratic,2005,1944,61,Male
Missouri 6,Sam Graves,Republican,2001,1963,38,Male
Missouri 7,Billy Long,Republican,2011,1955,56,Male
Missouri 8,Jason T. Smith,Republican,2013,1980,33,Male
Montana AL,Ryan Zinke,Republican,2015,1961,54,Male
Nebraska 1,Jeff Fortenberry,Republican,2005,1960,45,Male
Nebraska 2,Brad Ashford,Democratic,2015,1949,66,Male
Nebraska 3,Adrian Smith,Republican,2007,1970,37,Male
Nevada 1,Dina Titus,Democratic,2013,1950,63,Female
Nevada 2,Mark Amodei,Republican,2011,1958,53,Male
Nevada 3,Joe Heck,Republican,2011,1961,50,Male
Nevada 4,Cresent Hardy,Republican,2015,1957,58,Male
New Hampshire 1,Frank Guinta,Republican,2015,1970,45,Male
New Hampshire 2,Ann McLane Kuster,Democratic,2013,1956,57,Female
New Jersey 1,Donald Norcross,Democratic,2014,1958,56,Male
New Jersey 2,Frank LoBiondo,Republican,2003,1946,57,Male
New Jersey 3,Tom MacArthur,Republican,2015,1960,55,Male
New Jersey 4,Chris Smith,Republican,1981,1953,28,Male
New Jersey 5,Scott Garrett,Republican,2003,1959,44,Male
New Jersey 6,Frank Pallone,Democratic,1988,1951,37,Male
New Jersey 7,Leonard Lance,Republican,2009,1952,57,Male
New Jersey 8,Albio Sires,Democratic,2006,1951,55,Male
New Jersey 9,Bill Pascrell,Democratic,1997,1937,60,Male
New Jersey 10,"Donald Payne, Jr.",Democratic,2012,1958,54,Male
New Jersey 11,Rodney Frelinghuysen,Republican,1995,1946,49,Male
New Jersey 12,Bonnie Watson Coleman,Democratic,2015,1945,70,Female
New Mexico 1,Michelle Lujan Grisham,Democratic,2013,1959,54,Female
New Mexico 2,Steve Pearce,Republican,2011,1947,64,Male
New Mexico 3,Ben LujÃ¡n,Democratic,2009,1972,37,Male
New York 1,Lee Zeldin,Republican,2015,1980,35,Male
New York 2,Peter King,Republican,1993,1944,49,Male
New York 3,Steve Israel,Democratic,2001,1958,43,Male
New York 4,Kathleen Rice,Democratic,2015,1965,50,Female
New York 5,Gregory Meeks,Democratic,1998,1953,45,Male
New York 6,Grace Meng,Democratic,2013,1975,38,Female
New York 7,Nydia VelÃ¡zquez,Democratic,1993,1953,40,Female
New York 8,Hakeem Jeffries,Democratic,2013,1970,43,Male
New York 9,Yvette Clarke,Democratic,2007,1964,43,Female
New York 10,Jerrold Nadler,Democratic,1992,1947,45,Male
New York 11,Daniel Donovan,Republican,2015,1956,59,Male
New York 12,Carolyn Maloney,Democratic,1993,1948,45,Female
New York 13,Charles Rangel,Democratic,1971,1930,41,Male
New York 14,Joseph Crowley,Democratic,1999,1962,37,Male
New York 15,JosÃ© Serrano,Democratic,1990,1943,47,Male
New York 16,Eliot Engel,Democratic,1989,1947,42,Male
New York 17,Nita Lowey,Democratic,1989,1937,52,Female
New York 18,Sean Patrick Maloney,Democratic,2013,1966,47,Male
New York 19,Chris Gibson,Republican,2011,1964,47,Male
New York 20,Paul Tonko,Democratic,2009,1949,60,Male
New York 21,Elise Stefanik,Republican,2015,1984,31,Female
New York 22,Richard Hanna,Republican,2011,1951,60,Male
New York 23,Tom Reed,Republican,2010,1971,39,Male
New York 24,John Katko,Republican,2015,1962,53,Male
New York 25,Louise Slaughter,Democratic,1987,1929,58,Female
New York 26,Brian Higgins,Democratic,2005,1959,46,Male
New York 27,Chris Collins,Republican,2013,1950,63,Male
North Carolina 1,G. K. Butterfield,Democratic,2004,1947,57,Male
North Carolina 2,Renee Ellmers,Republican,2011,1964,47,Female
North Carolina 3,Walter Jones,Republican,1995,1943,52,Male
North Carolina 4,David Price,Democratic,1997,1940,57,Male
